"Income","Gender","Age","Ethnic","Health","HeatBreaks","MiceRats","CracksHoles","BrokenPlaster","WaterLeakage","MaintenanceDef"
54000,"Male",43,"Hispanic",3,1,"Yes","No","No","No",2
54000,"Male",43,"Hispanic",3,1,"Yes","No","No","No",2
54000,"Male",43,"Hispanic",3,1,"Yes","No","No","No",2
42000,"Male",41,"Hispanic",3,1,"Yes","No","No","No",3
42000,"Male",41,"Hispanic",3,1,"Yes","No","No","No",3
42000,"Male",41,"Hispanic",3,1,"Yes","No","No","No",3
275800,"Female",43,"Caucasian",1,1,"No","Yes","No","No",2
275800,"Female",43,"Caucasian",1,1,"No","Yes","No","No",2
35000,"Female",50,"Asian",1,1,"No","No","No","No",1
160000,"Female",30,"Caucasian",1,1,"No","No","No","No",1
160000,"Female",30,"Caucasian",1,1,"No","No","No","No",1
86600,"Female",41,"Hispanic",3,1,"No","No","No","No",1
86600,"Female",41,"Hispanic",3,1,"No","No","No","No",1
86600,"Female",41,"Hispanic",3,1,"No","No","No","No",1
86600,"Female",41,"Hispanic",3,1,"No","No","No","No",1
70000,"Female",44,"Caucasian",2,1,"No","No","No","No",1
70000,"Female",44,"Caucasian",2,1,"No","No","No","No",1
31000,"Female",68,"African-American",5,1,"Yes","No","No","No",2
31000,"Female",68,"African-American",5,1,"Yes","No","No","No",2
31000,"Female",68,"African-American",5,1,"Yes","No","No","No",2
31000,"Female",68,"African-American",5,1,"Yes","No","No","No",2
55000,"Male",25,"Asian",2,1,"No","No","No","No",1
33500,"Female",69,"Caucasian",3,1,"No","No","Yes","Yes",4
33500,"Female",69,"Caucasian",3,1,"No","No","Yes","Yes",4
7932,"Male",61,"African-American",5,2,"No","No","No","No",4
2880,"Male",75,"Asian",4,5,"Yes","No","No","No",4
29816,"Male",38,"Hispanic",3,1,"No","No","Yes","No",1
29816,"Male",38,"Hispanic",3,1,"No","No","Yes","No",1
24000,"Male",58,"African-American",4,5,"Yes","Yes","No","No",4
24000,"Male",58,"African-American",4,5,"Yes","Yes","No","No",4
65000,"Male",51,"Caucasian",3,1,"No","No","No","No",1
70000,"Male",37,"Caucasian",2,1,"No","No","No","No",2
10800,"Male",86,"African-American",5,3,"No","No","No","Yes",5
10800,"Male",86,"African-American",5,3,"No","No","No","Yes",5
3000,"Female",70,"Asian",3,1,"No","No","Yes","No",1
3000,"Male",83,"Caucasian",3,1,"No","No","No","No",1
135000,"Female",46,"Hispanic",2,1,"No","No","No","No",1
135000,"Female",46,"Hispanic",2,1,"No","No","No","No",1
48000,"Male",25,"Caucasian",2,1,"No","No","No","Yes",2
135000,"Female",44,"Hispanic",3,1,"No","No","No","No",1
135000,"Female",44,"Hispanic",3,1,"No","No","No","No",1
135000,"Female",44,"Hispanic",3,1,"No","No","No","No",1
135000,"Female",44,"Hispanic",3,1,"No","No","No","No",1
10800,"Male",62,"Hispanic",5,1,"Yes","Yes","Yes","Yes",0
10800,"Male",62,"Hispanic",5,1,"Yes","Yes","Yes","Yes",0
10800,"Male",62,"Hispanic",5,1,"Yes","Yes","Yes","Yes",0
62000,"Female",57,"Caucasian",2,1,"No","No","No","No",1
4800,"Male",73,"African-American",4,1,"Yes","No","No","No",2
4800,"Male",73,"African-American",4,1,"Yes","No","No","No",2
9999999,"Female",90,"Caucasian",4,1,"No","Yes","No","No",3
29328,"Male",85,"African-American",3,3,"Yes","No","No","No",3
108000,"Female",54,"Caucasian",1,1,"No","No","No","No",2
108000,"Female",54,"Caucasian",1,1,"No","No","No","No",2
59500,"Female",59,"Caucasian",1,1,"No","No","Yes","No",0
20000,"Female",25,"Caucasian",1,5,"No","Yes","Yes","No",4
20000,"Female",25,"Caucasian",1,5,"No","Yes","Yes","No",4
35000,"Male",57,"Asian",1,1,"No","No","Yes","Yes",3
132000,"Male",35,"Caucasian",1,1,"No","No","Yes","Yes",4
132000,"Male",35,"Caucasian",1,1,"No","No","Yes","Yes",4
647140,"Male",39,"Caucasian",1,1,"Yes","No","Yes","Yes",3
647140,"Male",39,"Caucasian",1,1,"Yes","No","Yes","Yes",3
102000,"Male",34,"Caucasian",2,1,"Yes","No","No","No",2
29328,"Male",81,"Other",4,1,"Yes","No","No","No",2
88000,"Male",59,"Hispanic",3,1,"Yes","No","No","No",2
88000,"Male",59,"Hispanic",3,1,"Yes","No","No","No",2
88000,"Male",59,"Hispanic",3,1,"Yes","No","No","No",2
75000,"Male",38,"Caucasian",1,1,"Yes","Yes","Yes","No",3
42000,"Female",46,"Hispanic",2,1,"No","No","No","No",0
42000,"Female",46,"Hispanic",2,1,"No","No","No","No",0
42000,"Female",46,"Hispanic",2,1,"No","No","No","No",0
571640,"Female",36,"Caucasian",1,1,"No","No","No","No",1
571640,"Female",36,"Caucasian",1,1,"No","No","No","No",1
84360,"Female",27,"Caucasian",2,2,"Yes","No","No","No",5
84360,"Female",27,"Caucasian",2,2,"Yes","No","No","No",5
84360,"Female",27,"Caucasian",2,2,"Yes","No","No","No",5
84360,"Female",27,"Caucasian",2,2,"Yes","No","No","No",5
93200,"Female",41,"Caucasian",1,1,"No","No","No","No",1
93200,"Female",41,"Caucasian",1,1,"No","No","No","No",1
50000,"Female",36,"Caucasian",1,1,"No","No","No","No",1
25800,"Female",68,"Hispanic",4,1,"Yes","No","No","Yes",3
25800,"Female",68,"Hispanic",4,1,"Yes","No","No","Yes",3
175000,"Female",50,"Caucasian",1,2,"No","No","Yes","No",3
175000,"Female",50,"Caucasian",1,2,"No","No","Yes","No",3
101000,"Female",33,"Caucasian",2,1,"No","No","No","No",1
101000,"Female",33,"Caucasian",2,1,"No","No","No","No",1
150000,"Female",45,"Caucasian",2,1,"No","No","No","No",1
30000,"Female",53,"Caucasian",1,1,"No","No","No","No",1
7616,"Male",72,"Hispanic",4,1,"No","No","No","Yes",2
31200,"Male",68,"Caucasian",2,1,"Yes","Yes","No","No",4
31200,"Male",68,"Caucasian",2,1,"Yes","Yes","No","No",4
7992,"Male",90,"Hispanic",3,5,"Yes","Yes","Yes","Yes",8
50000,"Male",39,"Caucasian",3,1,"No","No","No","No",1
50000,"Male",39,"Caucasian",3,1,"No","No","No","No",1
51100,"Male",44,"Caucasian",2,1,"No","No","No","Yes",2
7296,"Male",30,"Hispanic",2,1,"Yes","No","No","No",2
42000,"Female",55,"Hispanic",5,1,"Yes","No","No","No",2
42000,"Female",55,"Hispanic",5,1,"Yes","No","No","No",2
42000,"Female",55,"Hispanic",5,1,"Yes","No","No","No",2
42000,"Female",55,"Hispanic",5,1,"Yes","No","No","No",2
25000,"Male",56,"Asian",5,5,"Yes","Yes","Yes","Yes",7
25000,"Male",56,"Asian",5,5,"Yes","Yes","Yes","Yes",7
7200,"Male",73,"Hispanic",3,1,"No","No","No","No",1
25800,"Female",70,"Hispanic",3,1,"Yes","No","Yes","No",5
7200,"Male",33,"Hispanic",3,1,"Yes","No","No","No",2
7200,"Male",33,"Hispanic",3,1,"Yes","No","No","No",2
7200,"Male",33,"Hispanic",3,1,"Yes","No","No","No",2
15000,"Female",45,"Hispanic",3,1,"No","No","No","No",1
50100,"Male",70,"Caucasian",3,1,"No","No","No","No",1
3432,"Female",74,"Hispanic",3,1,"No","No","No","No",0
64580,"Female",64,"Hispanic",3,1,"No","No","No","No",0
57040,"Male",31,"Caucasian",1,3,"No","No","No","Yes",3
826640,"Female",28,"Caucasian",1,1,"No","No","No","No",1
826640,"Female",28,"Caucasian",1,1,"No","No","No","No",1
16000,"Male",68,"Caucasian",3,1,"No","No","No","No",1
9999999,"Female",21,"Caucasian",2,1,"No","No","No","No",2
140500,"Female",27,"Asian",1,2,"No","No","No","No",0
36000,"Female",69,"African-American",1,1,"No","No","No","No",1
36000,"Female",69,"African-American",1,1,"No","No","No","No",1
18000,"Female",53,"Hispanic",2,5,"Yes","Yes","Yes","Yes",7
18000,"Female",53,"Hispanic",2,5,"Yes","Yes","Yes","Yes",7
17196,"Female",64,"Hispanic",4,5,"No","No","No","No",3
